label,offset,n,state_ppl_mean,state_ppl_std,state_latency_mean,state_latency_std,state_size_kb_mean,state_size_kb_std
baseline,1,160,33.95432807721062,38.32079477594375,0.37409965640399606,0.28316710742649426,19105.9423828125,0.0
baseline,2,142,33.016179687789354,27.023553914461846,0.4245617703901945,0.29425140711271275,19105.9423828125,0.0
baseline,3,160,28.53598229130997,24.003511805645342,0.4041998918808531,0.349216622925794,19105.9423828125,0.0
baseline,4,142,29.71123711291249,28.022235006426158,0.4366538493015187,0.29676914328601584,19105.9423828125,0.0
baseline,5,160,30.164651475468656,30.84958859426898,0.39959451692411674,0.34653842936804086,19105.9423828125,0.0
baseline,6,142,32.153231301984654,32.02277389789326,0.44932565580345163,0.2943015840197777,19105.9423828125,0.0
baseline,7,160,37.098815508491356,41.17908182486871,0.42530651211272924,0.39024136775312174,19105.9423828125,0.0
baseline,8,142,41.40519669631268,49.32868929911093,0.48141357407603463,0.319582255406511,19105.9423828125,0.0
baseline,9,100,42.47193158564345,47.2800312610717,0.4168662070576101,0.3509359108875944,19105.9423828125,0.0
baseline,10,130,46.48025341430281,70.96343204284952,0.46830970871333893,0.3184449300588785,19105.9423828125,0.0
baseline,11,72,43.18212244075398,49.19612257754303,0.4108270075586107,0.36370219811379023,19105.9423828125,0.0
baseline,12,115,44.01656164651011,44.67356989234197,0.45556301889212236,0.3323090007219842,19105.9423828125,0.0
baseline,13,46,39.49052379994665,43.46311219401329,0.44401789304759837,0.4130043817642303,19105.9423828125,0.0
baseline,14,96,49.71978625514222,52.49468227821749,0.5064231924091777,0.3909625909341194,19105.9423828125,0.0
baseline,15,27,34.328964050955825,35.06574457370522,0.46951892758133235,0.530713207863349,19105.9423828125,0.0
baseline,16,78,53.06896708105931,50.34888707111989,0.4805158876025906,0.3718094970495417,19105.9423828125,0.0
baseline,17,6,13.633239612413261,19.752856380319493,0.5800903489192327,0.8510647367121696,19105.9423828125,0.0
baseline,18,65,53.696786590340686,53.56826356530322,0.48024477157741785,0.3559060584923082,19105.9423828125,0.0
baseline,20,54,61.27508750388898,69.47536560629227,0.4602219830784533,0.36000456606362,19105.9423828125,0.0
baseline,22,41,64.98217176643136,76.72074832368301,0.4459964502148512,0.42911773931569885,19105.9423828125,0.0
baseline,24,30,79.1976588726514,111.1644950796058,0.46474419149259727,0.34438960636075255,19105.9423828125,0.0
baseline,26,22,109.44348698487808,133.32791288043984,0.4063293570652604,0.2655397151448635,19105.9423828125,0.0
baseline,28,16,188.94217040973209,241.4010269368332,0.40079326485283673,0.24120074040593947,19105.9423828125,0.0
baseline,30,6,409.5987414919432,528.9348198022452,0.3398401380206148,0.18156061166241824,19105.9423828125,0.0
carryover_alpha_1.0,1,160,52.67410293389173,56.56779085445218,0.6474130535149015,0.3065389695477398,19106.0908203125,0.0
carryover_alpha_1.0,2,142,49.95318013328847,54.061932204937214,0.6743018652942084,0.3324947103929393,19106.0908203125,0.0
carryover_alpha_1.0,3,160,47.43893503855482,42.898654286399804,0.6682253748353105,0.36799246988334194,19106.0908203125,0.0
carryover_alpha_1.0,4,142,46.032039139917515,44.94510816640703,0.6676486560707571,0.36001480462347213,19106.0908203125,0.0
carryover_alpha_1.0,5,160,48.51250096326658,47.74434864573145,0.6766269352287054,0.3925817281481621,19106.0908203125,0.0
carryover_alpha_1.0,6,142,48.852247249443906,52.85472327108984,0.6962942690326189,0.3605947527467949,19106.0908203125,0.0
carryover_alpha_1.0,7,160,57.18364431574938,62.448698672540374,0.6957154280273243,0.40942519864523763,19106.0908203125,0.0
carryover_alpha_1.0,8,142,58.212085003104846,72.13163738770952,0.7237758918560412,0.3681056541547831,19106.0908203125,0.0
carryover_alpha_1.0,9,100,62.345814205454715,70.09706520779633,0.660357299335301,0.37887975078540065,19106.0908203125,0.0
carryover_alpha_1.0,10,130,60.38219040386354,83.15601567063861,0.7304282186696163,0.3783413745454707,19106.0908203125,0.0
carryover_alpha_1.0,11,72,61.78434979474191,73.17623714485084,0.6632506412376339,0.3819524450710907,19106.0908203125,0.0
carryover_alpha_1.0,12,115,59.713954764772105,72.73219783648725,0.7137978153627204,0.36014835302193426,19106.0908203125,0.0
carryover_alpha_1.0,13,46,48.37471307839544,45.148575513295,0.6875089522775101,0.4260924892476509,19106.0908203125,0.0
carryover_alpha_1.0,14,96,70.91409101328499,101.43714639715448,0.730492838784509,0.41148456772179626,19106.0908203125,0.0
carryover_alpha_1.0,15,27,41.54192281374066,36.452154526427684,0.7064845217391849,0.44214390694653877,19106.0908203125,0.0
carryover_alpha_1.0,16,78,85.19376868980943,152.6187902134836,0.7153452638632212,0.41737569385682105,19106.0908203125,0.0
carryover_alpha_1.0,17,6,16.955795966415696,20.38984601568772,0.9590021180920303,0.745902233419948,19106.0908203125,0.0
carryover_alpha_1.0,18,65,81.48594805538868,129.49248818254387,0.7128062337780228,0.3980244041354446,19106.0908203125,0.0
carryover_alpha_1.0,20,54,103.1779834251357,251.72234317836853,0.7017328836782663,0.36737251117710656,19106.0908203125,0.0
carryover_alpha_1.0,22,41,107.20512100784345,205.8646186967838,0.6919940601716318,0.4403772708072437,19106.0908203125,0.0
carryover_alpha_1.0,24,30,134.5625063060555,350.51928199955455,0.7348799971863628,0.3597504105459294,19106.0908203125,0.0
carryover_alpha_1.0,26,22,159.72665990242177,297.2413377943518,0.6459529596296224,0.3303009638698371,19106.0908203125,0.0
carryover_alpha_1.0,28,16,255.2622116080256,436.8262611508576,0.6044645147630945,0.2556951597294305,19106.0908203125,0.0
carryover_alpha_1.0,30,6,609.0109441641949,953.2666541262121,0.6400305804175636,0.2299340734326858,19106.0908203125,0.0
carryover_alpha_0.9,1,160,43.792714646526164,49.04213204538526,0.6916358795657288,0.3142180592779504,19106.0908203125,0.0
carryover_alpha_0.9,2,142,41.76271415250617,38.33608143357033,0.7431514025534648,0.3342214267454864,19106.0908203125,0.0
carryover_alpha_0.9,3,160,39.54649978151063,34.13320582330814,0.7166658106143586,0.3647055873715083,19106.0908203125,0.0
carryover_alpha_0.9,4,142,39.83453633967999,36.44008345547734,0.7477156125651804,0.3292217244572127,19106.0908203125,0.0
carryover_alpha_0.9,5,160,41.832826670738044,42.51807995526344,0.7135521282441915,0.39122958241887207,19106.0908203125,0.0
carryover_alpha_0.9,6,142,43.712204151737055,47.056137522823626,0.7686093885281031,0.31688724651819694,19106.0908203125,0.0
