method,turn,n_sessions,state_latency_mean,state_latency_std,compressed_latency_mean,compressed_latency_std,state_ppl_mean,state_ppl_std,compressed_ppl_mean,compressed_ppl_std,original_size_kb_mean,original_size_kb_std,compressed_size_kb_mean,compressed_size_kb_std,ppl_delta,latency_delta,latency_speedup,compression_ratio
ae_1024,4,142,0.7516379878646366,0.7203134160192463,0.5902923982603554,0.3215975763976486,29.827058788298753,28.384830500981387,45.92142866247348,51.17510041773548,19106.0283203125,0.0,2.0,0.0,16.094369874174728,-0.16134558960428125,1.2733316405221906,9553.01416015625
ae_1024,5,161,0.6172005589154798,0.6489307337239247,0.5600198296112766,0.3709499062858631,30.08662129103604,31.161405928757887,50.924311263800014,65.49139251372746,19106.0283203125,0.0,2.0,0.0,20.837689972763975,-0.05718072930420315,1.102104829652003,9553.01416015625
ae_1024,6,142,0.7794150311932703,0.7445934887809758,0.6156711810019234,0.33715633915060367,32.21253917871737,32.12553739845241,53.60589682151284,55.557427018837814,19106.0283203125,0.0,2.0,0.0,21.393357642795472,-0.16374385019134685,1.2659599072428165,9553.01416015625
ae_1024,7,161,0.6600000885407793,0.6949771700496822,0.5856412418001558,0.4330242470603983,36.9113942262532,41.039001546744004,68.09763891169673,93.15903866485255,19106.0283203125,0.0,2.0,0.0,31.186244685443533,-0.07435884674062354,1.1269699628941052,9553.01416015625
ae_1024,8,142,0.8357389599255378,0.7893642794016148,0.6217520831113446,0.3424513597651548,41.47067799079565,49.357546285489526,76.47351274806172,105.89395027440543,19106.0283203125,0.0,2.0,0.0,35.00283475726607,-0.21398687681419326,1.3441675269399493,9553.01416015625
ae_1024,9,100,0.6362950059492141,0.643771413389356,0.5455903888866306,0.37265510095208626,42.65884939754477,47.7488516497942,73.99061697958062,86.0742054098774,19106.0283203125,0.0,2.0,0.0,31.33176758203585,-0.09070461706258348,1.1662503939038984,9553.01416015625
ae_1024,10,130,0.7935248619267861,0.7638178806358059,0.6278116912795947,0.34393952419362195,46.407470779295856,70.8461753544688,87.52649798870597,152.50936738604258,19106.0283203125,0.0,2.0,0.0,41.11902720941011,-0.16571317064719138,1.2639536232742619,9553.01416015625
ae_1024,11,72,0.6284532091813162,0.7031291085097651,0.5619122681026865,0.36902751273511925,43.27570431831941,49.336556495378304,77.13968816063536,77.73210028665933,19106.0283203125,0.0,2.0,0.0,33.863983842315946,-0.06654094107862973,1.1184187369734908,9553.01416015625
ae_1024,12,115,0.7721831520249987,0.7961452617231465,0.5994008344152699,0.35856851099194836,44.0262828372421,44.646241129585825,89.16269785354609,93.51153129696651,19106.0283203125,0.0,2.0,0.0,45.13641501630399,-0.17278231760972873,1.2882583868577395,9553.01416015625
ae_1024,13,46,0.7140912586600399,0.9337679920942039,0.6036244024846541,0.4406976803317452,39.52023627197952,43.47371777148403,78.92870856212001,81.67719394572508,19106.0283203125,0.0,2.0,0.0,39.40847229014049,-0.11046685617538576,1.183005948269618,9553.01416015625
ae_1024,14,96,0.8482019915924562,0.9414175371007956,0.6547931226280829,0.41325796380676416,49.651586103691336,52.54080820928419,107.7671358415407,136.4522937396465,19106.0283203125,0.0,2.0,0.0,58.11554973784937,-0.19340886896437337,1.295374007882224,9553.01416015625
ae_1024,15,27,0.6473655293488668,0.6920104656102459,0.6122818214956809,0.5733165958605417,34.51147999198191,35.34973540377683,75.58257916913878,67.14663858958683,19106.0283203125,0.0,2.0,0.0,41.071099177156874,-0.03508370785318593,1.0572999338237472,9553.01416015625
ae_1024,16,78,0.8284645607300962,0.8934025003855035,0.6180402181970959,0.4147506085999809,52.91850294417319,50.207222265957185,128.25412462414332,151.35491954095681,19106.0283203125,0.0,2.0,0.0,75.33562167997013,-0.21042434253300035,1.3404703065228274,9553.01416015625
ae_1024,17,6,0.7566705131903291,1.0185095742845867,0.7732248627580702,0.9256396214135039,13.971931639687652,20.403347394609106,38.19280933268677,23.49216208343504,19106.0283203125,0.0,2.0,0.0,24.220877692999117,0.016554349567741156,0.978590510516317,9553.01416015625
