label,offset,n,state_ppl_mean,state_ppl_std,state_latency_mean,state_latency_std,state_size_kb_mean,state_size_kb_std
baseline,1,160,33.95432807721062,38.32079477594375,0.7633284525130876,0.25869653108908874,19105.9423828125,0.0
baseline,2,142,33.016179687789354,27.023553914461846,0.8065552943202496,0.25354585771957794,19105.9423828125,0.0
baseline,3,160,28.53598229130997,24.003511805645342,0.7828914683894255,0.30347852862164465,19105.9423828125,0.0
baseline,4,142,29.71123711291249,28.022235006426158,0.8199872144917683,0.28553876853250715,19105.9423828125,0.0
baseline,5,160,30.164651475468656,30.84958859426898,0.7767722860560753,0.3068495412279753,19105.9423828125,0.0
baseline,6,142,32.153231301984654,32.02277389789326,0.8021705447840439,0.24583265189705758,19105.9423828125,0.0
baseline,7,160,37.098815508491356,41.17908182486871,0.7870378062478267,0.3043473150377665,19105.9423828125,0.0
baseline,8,142,41.40519669631268,49.32868929911093,0.8457359796599813,0.27517593468666857,19105.9423828125,0.0
baseline,9,100,42.47193158564345,47.2800312610717,0.7931500061135739,0.33556376974891183,19105.9423828125,0.0
baseline,10,130,46.48025341430281,70.96343204284952,0.8622994329851981,0.2891505497822297,19105.9423828125,0.0
baseline,11,72,43.18212244075398,49.19612257754303,0.8164201682278266,0.32128825768418984,19105.9423828125,0.0
baseline,12,115,44.01656164651011,44.67356989234197,0.8333074596750996,0.2944536486329368,19105.9423828125,0.0
baseline,13,46,39.49052379994665,43.46311219401329,0.8353064248297849,0.3493332012378254,19105.9423828125,0.0
baseline,14,96,49.71978625514222,52.49468227821749,0.8639132224974068,0.35520227774067725,19105.9423828125,0.0
baseline,15,27,34.328964050955825,35.06574457370522,0.8454544006122483,0.4843258258108368,19105.9423828125,0.0
baseline,16,78,53.06896708105931,50.34888707111989,0.8365833250423654,0.310559186142036,19105.9423828125,0.0
baseline,17,6,13.633239612413261,19.752856380319493,0.883460341176639,0.5840169976308784,19105.9423828125,0.0
baseline,18,65,53.696786590340686,53.56826356530322,0.8566742199688003,0.33330978165865227,19105.9423828125,0.0
baseline,20,54,61.27508750388898,69.47536560629227,0.8264382113185194,0.3070001407872131,19105.9423828125,0.0
baseline,22,41,64.98217176643136,76.72074832368301,0.8391542756793703,0.3841967104505126,19105.9423828125,0.0
baseline,24,30,79.1976588726514,111.1644950796058,0.8475880293486019,0.2960736037899761,19105.9423828125,0.0
baseline,26,22,109.44348698487808,133.32791288043984,0.8217802908356217,0.25621017450608846,19105.9423828125,0.0
