turn,n_sessions,baseline_ppl_mean,baseline_ppl_std,state_ppl_mean,state_ppl_std,baseline_latency_mean,baseline_latency_std,state_latency_mean,state_latency_std,txt_size_kb_mean,txt_size_kb_std,pt_size_kb_mean,pt_size_kb_std,ppl_delta,latency_delta,latency_speedup
1,161,35.56476346675929,40.83722008758794,33.81020810894271,38.24507273282013,0.5059061990761609,0.4004498998498877,0.6760192203237125,0.37502643535284497,2.548658288043478,2.4044218709358747,19105.7080078125,0.0,-1.754555357816578,0.17011302124755168,0.7483606735824865
2,142,33.235220111794625,27.27934716820106,33.016179687789354,27.023553914461846,1.2225703612415932,0.624898167572623,0.7275256893702481,0.43445095333524963,7.492132482394366,3.2281662538170317,19105.7080078125,0.0,-0.21904042400527146,-0.49504467187134515,1.6804497478293305
3,161,27.619421548776565,23.399358512376534,28.475936536452544,23.940901633102058,0.9306044413517258,0.7628129504711951,0.7034527837466564,0.4597165914871827,4.768324194487578,3.7956242659952455,19105.7080078125,0.0,0.856514987675979,-0.2271516576050694,1.322909600833816
4,142,27.200158007555416,25.82892187768905,29.71123711291249,28.022235006426158,1.6494765964559686,0.788136588302716,0.7376395521528074,0.4095352659624182,9.143939810739436,3.223846133994584,19105.7080078125,0.0,2.511079105357073,-0.9118370443031611,2.236155303280521
5,161,25.937148634634344,27.221220715938205,30.044069871186718,30.791432931066353,1.21049329603195,0.858448680871514,0.7167865868877643,0.489628279648292,6.167665469720497,4.066699122311815,19105.7080078125,0.0,4.106921236552374,-0.4937067091441858,1.6887778289599764
6,142,24.748283398624025,22.97221846749551,32.153231301984654,32.02277389789326,1.8685640864415278,0.7919720093928438,0.7652274117818181,0.4459023467543177,9.98815058318662,3.0158239717619715,19105.7080078125,0.0,7.404947903360629,-1.1033366746597097,2.4418415462804846
7,161,26.379887975689666,27.93631202254316,36.918793614117845,41.11410510727399,1.4564474573567139,0.8961599618418343,0.7369723226180913,0.5696242219888779,7.346813130822981,4.05922418322436,19105.7080078125,0.0,10.53890563842818,-0.7194751347386226,1.9762580122177316
8,142,24.369639744859654,21.72288554512023,41.40519669631268,49.32868929911093,2.022473535375853,0.7642318292183549,0.7994866078837551,0.4642420701076039,10.524180237676056,2.6307845235691314,19105.7080078125,0.0,17.035556951453025,-1.222986927492098,2.5297153391091194
9,100,27.305623607826437,28.645075649557885,42.47193158564345,47.2800312610717,1.5081003463547678,0.8904175762614528,0.692773020323366,0.4772890806237652,7.5577734375,3.9806504370795586,19105.7080078125,0.0,15.166307977817016,-0.8153273260314018,2.176903981697831
10,130,22.538146927861053,24.26122383279339,46.48025341430281,70.96343204284952,2.0979912044050604,0.7430687558496273,0.7763768064646194,0.45370680573471217,10.750518329326923,2.327024106598901,19105.7080078125,0.0,23.942106486441755,-1.3216143979404409,2.7022847500541207
11,72,23.813657631865926,22.252137912473213,43.18212244075398,49.19612257754303,1.6502902820680498,0.8890928600278433,0.7233161898847256,0.5393523060083453,8.236531575520834,3.7928031117391345,19105.7080078125,0.0,19.368464808888053,-0.9269740921833243,2.2815613768178693
